,opt_date,strike,lastPrice,dist OTM,% OTM,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,value
0,2020-05-01,51.0,0.01,25.49500274658203,33.32897814389739,0.0,0.1,-0.14,-93.33333,2.0,15.0,1.000005,0.0,15.0
1,2020-05-01,50.0,0.05,26.49500274658203,34.63625308225234,0.05,0.06,-0.040000003,-44.444447,95.0,745.0,1.05859845703125,0.0,3725.0
2,2020-05-01,54.0,0.1,22.49500274658203,29.407153328832532,0.02,0.24,0.0,0.0,6.0,42.0,1.01172369140625,0.0,420.0
3,2020-05-01,55.0,0.14,21.49500274658203,28.099878390477574,0.05,0.17,-0.010000005,-6.6666694,1.0,653.0,0.93945373046875,0.0,9142.0
4,2020-05-01,59.0,0.14,17.49500274658203,22.87077863705776,0.1,0.2,-0.36,-72.0,1.0,69.0,0.8085956640624999,0.0,966.0
5,2020-05-01,52.0,0.15,24.49500274658203,32.02170320554244,0.02,0.5,0.0,0.0,2.0,12.0,1.2519568652343749,0.0,179.99999999999997
6,2020-05-01,60.0,0.18,16.49500274658203,21.563503698702807,0.17,0.2,-0.109999985,-37.93103,237.0,509.0,0.795900478515625,0.0,9161.999999999998
7,2020-05-08,50.0,0.21,26.49500274658203,34.63625308225234,0.0,0.21,0.0,0.0,13.0,87.0,0.9238288867187501,0.0,1827.0
8,2020-05-15,50.0,0.26,26.49500274658203,34.63625308225234,0.26,0.31,-0.060000002,-18.750002,20.0,2822.0,0.940430283203125,0.0,73372.0
9,2020-05-08,56.0,0.26,20.49500274658203,26.79260345212262,0.09,0.39,-0.59000003,-69.411766,2.0,2.0,0.8193377441406249,0.0,52.0
10,2020-05-01,63.5,0.3,12.995002746582031,16.988041414460472,0.28,0.35,-0.26,-46.42857,101.0,147.0,0.7216824707031251,0.0,4410.0
11,2020-05-01,61.0,0.32,15.495002746582031,20.256228760347856,0.16,0.25,0.0,0.0,14.0,57.0,0.7666038964843751,0.0,1824.0000000000002
12,2020-05-01,57.0,0.34,19.49500274658203,25.48532851376767,0.08,0.17,0.0,0.0,1.0,47.0,0.86914193359375,0.0,1598.0
13,2020-05-01,62.5,0.34,13.995002746582031,18.295316352815423,0.23,0.3,-0.15,-30.612246,88.0,100.0,0.7392604199218749,0.0,3400.0
14,2020-05-15,52.5,0.34,23.99500274658203,31.368065736364958,0.3,0.39,-0.060000002,-15.000001,16.0,1053.0,0.8818371191406249,0.0,35802.00000000001
