,opt_date,strike,lastPrice,dist OTM,% OTM,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,value
14,2020-05-01,850.0,13.4,124.8499755859375,17.21712354444435,12.8,13.5,-0.64000034,-4.5584073,893.0,669.0,1.2489051226806638,False,896460.0
11,2020-05-01,860.0,11.75,134.8499755859375,18.596148527320164,11.45,12.4,-0.8500004,-6.746034,296.0,120.0,1.258914838256836,False,141000.0
10,2020-05-01,870.0,10.75,144.8499755859375,19.975173510195983,10.3,10.95,-0.8500004,-7.3275895,473.0,256.0,1.2612951974487303,False,275200.0
7,2020-05-01,880.0,9.8,154.8499755859375,21.354198493071795,9.3,10.0,-1.0,-9.259259,169.0,229.0,1.2717321569824214,False,224420.00000000003
5,2020-05-01,890.0,8.75,164.8499755859375,22.73322347594761,8.35,8.9,-1.1099997,-11.257604,146.0,85.0,1.2757604571533199,False,74375.0
4,2020-05-01,900.0,7.9,174.8499755859375,24.11224845882343,7.7,8.0,-1.1600003,-12.803535,1779.0,1039.0,1.2865025909423828,False,820810.0
18,2020-05-08,900.0,14.5,174.8499755859375,24.11224845882343,13.9,15.25,-0.25,-1.6949153,111.0,168.0,1.1052901181030275,False,243600.0
3,2020-05-01,920.0,6.85,194.8499755859375,26.87029842457506,6.1,6.85,-0.8000002,-10.457519,268.0,231.0,1.3055454644775388,False,158235.0
12,2020-05-08,920.0,12.4,194.8499755859375,26.87029842457506,11.85,13.15,-0.6000004,-4.615388,62.0,44.0,1.1167646701049803,False,54560.0
9,2020-05-08,940.0,10.58,214.8499755859375,29.628348390326693,10.15,11.45,-2.2200003,-17.343752,9.0,33.0,1.1301313024902346,False,34914.0
16,2020-10-16,940.0,14.23,214.8499755859375,29.628348390326693,85.2,88.65,0.0,0.0,2.0,54.0,0.768000061721802,False,76842.0
19,2020-05-15,940.0,14.84,214.8499755859375,29.628348390326693,14.9,15.85,-0.80999947,-5.1757154,8.0,365.0,1.0305224255371095,False,541660.0
2,2020-05-01,940.0,5.34,214.8499755859375,29.628348390326693,5.05,5.75,-1.21,-18.473282,188.0,201.0,1.3269076623535154,False,107333.99999999999
1,2020-05-01,950.0,4.9,224.8499755859375,31.00737337320251,4.9,5.05,-1.0999999,-18.333332,862.0,467.0,1.3398470507812497,False,228830.00000000003
17,2020-05-15,950.0,14.44,224.8499755859375,31.00737337320251,13.6,14.6,-0.35000038,-2.3664665,106.0,2135.0,1.027897926940918,False,3082940.0
8,2020-05-08,950.0,10.04,224.8499755859375,31.00737337320251,9.7,10.15,-0.60999966,-5.7276964,39.0,93.0,1.132755801086426,False,93371.99999999999
6,2020-05-08,960.0,9.4,234.8499755859375,32.386398356078324,8.8,10.0,-0.6000004,-6.000004,30.0,47.0,1.1449017364501952,False,44180.0
15,2020-05-15,960.0,13.97,234.8499755859375,32.386398356078324,13.1,14.0,-1.8699999,-11.805554,21.0,401.0,1.0404711062622076,False,560197.0
0,2020-05-01,960.0,4.49,234.8499755859375,32.386398356078324,4.2,4.85,-1.1500001,-20.390072,107.0,125.0,1.348269860229492,False,56125.0
13,2020-05-15,970.0,12.65,244.8499755859375,33.765423338954136,12.05,13.3,-1.3700008,-9.771761,20.0,175.0,1.0440721624755862,False,221375.0
